datetime,power,gfs_wind_speed_10m
2021-05-06 02:15:00,12.781,4.6670327
2021-05-06 02:30:00,11.8078,4.599406
2021-05-06 02:45:00,10.9647,4.4850497
2021-05-06 03:00:00,10.2386,4.2575984
2021-05-06 03:15:00,9.6131,3.8417075
2021-05-06 03:30:00,9.1131,3.1045802
2021-05-06 03:45:00,8.7347,2.28598
2021-05-06 04:00:00,8.4654,1.7977192
2021-05-06 04:15:00,8.3005,1.5644943
2021-05-06 04:30:00,8.1949,1.4093117
2021-05-06 04:45:00,8.1528,1.2166516
2021-05-06 05:00:00,8.1686,0.945101
2021-05-06 05:15:00,8.2423,0.9324342
2021-05-06 05:30:00,8.3535,1.4190567
2021-05-06 05:45:00,8.4975,1.9669751
2021-05-06 06:00:00,8.6588,2.4656608
2021-05-06 06:15:00,8.8381,2.8373973
2021-05-06 06:30:00,9.102,3.0546556
2021-05-06 06:45:00,9.4487,3.1164412
2021-05-06 07:00:00,9.8712,3.0445209
2021-05-06 07:15:00,10.3745,2.8221414
2021-05-06 07:30:00,10.8975,2.4119647
2021-05-06 07:45:00,11.4349,2.0286546
2021-05-06 08:00:00,11.9679,2.0911114
2021-05-06 08:15:00,12.4888,2.3482559
2021-05-06 08:30:00,13.0368,2.8789587
2021-05-06 08:45:00,13.5993,2.4158702
2021-05-06 09:00:00,14.1414,1.8659921
2021-05-06 09:15:00,14.6534,1.4536384
2021-05-06 09:30:00,15.2973,1.4863204
2021-05-06 09:45:00,16.0373,1.8743591
2021-05-06 10:00:00,16.8498,2.0355928
2021-05-06 10:15:00,17.6659,1.8482684
2021-05-06 10:30:00,18.4157,1.5886192
2021-05-06 10:45:00,19.0566,1.4987652
2021-05-06 11:00:00,19.5703,1.6026655
2021-05-06 11:15:00,19.9215,1.7748268
2021-05-06 11:30:00,20.1399,1.8946766
2021-05-06 11:45:00,20.2039,1.8840668
2021-05-06 12:00:00,20.1308,1.7708656
2021-05-06 12:15:00,19.9305,1.6963637
