datetime,power,gfs_wind_speed_10m,gfs_wind_speed_70m
2021-05-04 22:00:00,8.8162,3.0754259,5.908165
2021-05-04 22:15:00,9.0633,2.9071116,5.2870793
2021-05-04 22:30:00,9.4826,2.8438566,4.774826
2021-05-04 22:45:00,10.1037,2.8441553,4.509806
2021-05-04 23:00:00,10.9647,2.8400142,4.341272
2021-05-04 23:15:00,12.1228,2.8567984,4.3324723
2021-05-04 23:30:00,13.6272,2.8766077,4.31245
2021-05-04 23:45:00,15.5388,2.9410942,3.6609554
2021-05-05 00:00:00,16.0218,2.584483,3.984725
2021-05-05 00:15:00,17.5252,2.4206722,3.376879
2021-05-05 00:30:00,19.3742,4.3847094,4.2189016
2021-05-05 00:45:00,21.6139,5.229559,5.23598
2021-05-05 01:00:00,24.2886,5.702042,7.3741846
2021-05-05 01:15:00,27.4717,6.000316,8.387305
2021-05-05 01:30:00,31.0302,6.2275157,9.236191
2021-05-05 01:45:00,34.9629,6.4192142,9.606355
2021-05-05 02:00:00,39.283,6.432354,9.872631
2021-05-05 02:15:00,43.9783,6.387043,10.149682
2021-05-05 02:30:00,49.002,6.4211626,10.491635
2021-05-05 02:45:00,54.3236,6.526892,10.97925
2021-05-05 03:00:00,59.9005,6.6560683,11.369316
2021-05-05 03:15:00,65.769,6.771294,11.57394
2021-05-05 03:30:00,71.5703,6.844999,11.718792
2021-05-05 03:45:00,77.2749,6.862079,11.799539
2021-05-05 04:00:00,82.7886,6.77392,11.880068
2021-05-05 04:15:00,88.0197,6.800198,12.0145235
2021-05-05 04:30:00,92.527,6.8803477,12.011976
2021-05-05 04:45:00,96.2407,7.0694666,11.929479
2021-05-05 05:00:00,99.1679,7.1894145,11.822629
2021-05-05 05:15:00,101.3056,7.178132,11.740901
2021-05-05 05:30:00,102.6916,7.143541,11.776352
2021-05-05 05:45:00,103.4009,6.962886,11.615639
2021-05-05 06:00:00,103.5146,6.8316603,11.452841
2021-05-05 06:15:00,103.0603,6.9152045,11.510607
2021-05-05 06:30:00,102.465,6.9256263,11.473289
2021-05-05 06:45:00,101.7858,6.9921827,11.432099
2021-05-05 07:00:00,100.9953,6.9791327,11.109044
2021-05-05 07:15:00,100.0943,6.8876286,10.6444
2021-05-05 07:30:00,99.4203,6.8420696,10.216653
2021-05-05 07:45:00,99.0558,6.9166617,9.84576
2021-05-05 08:00:00,98.9998,7.27096,9.561678
2021-05-05 08:15:00,99.3081,7.2728896,9.407666
2021-05-05 08:30:00,100.0662,7.9579887,9.499739
2021-05-05 08:45:00,101.2492,8.438281,9.918609
2021-05-05 09:00:00,102.9468,8.542031,10.014552
2021-05-05 09:15:00,105.1374,8.428066,9.875243
2021-05-05 09:30:00,108.2871,8.412099,9.848286
2021-05-05 09:45:00,112.4097,8.374731,9.7964945
2021-05-05 10:00:00,117.5103,8.4995165,9.977699
2021-05-05 10:15:00,123.5724,8.753555,10.292162
2021-05-05 10:30:00,129.9959,9.151302,10.783352
2021-05-05 10:45:00,136.7004,9.5926485,11.335404
2021-05-05 11:00:00,143.5938,10.018715,11.847231
2021-05-05 11:15:00,150.5009,10.492638,12.44017
2021-05-05 11:30:00,156.9532,11.063147,13.120473
2021-05-05 11:45:00,162.7192,11.533039,13.686465
2021-05-05 12:00:00,167.4893,11.87968,14.097557
2021-05-05 12:15:00,172.553,12.167918,14.449963
2021-05-05 12:30:00,177.3176,12.441808,14.768652
2021-05-05 12:45:00,180.6306,12.64442,15.003216
2021-05-05 13:00:00,182.8661,12.755621,15.13236
2021-05-05 13:15:00,184.3276,12.829525,15.216994
2021-05-05 13:30:00,185.2018,12.870472,15.262826
2021-05-05 13:45:00,185.7073,12.82175,15.201859
2021-05-05 14:00:00,185.9872,12.768645,15.135713
2021-05-05 14:15:00,186.1345,12.766301,15.115629
2021-05-05 14:30:00,186.2044,12.688416,15.016962
2021-05-05 14:45:00,186.2341,12.581754,14.887902
2021-05-05 15:00:00,186.2435,12.448169,14.729589
2021-05-05 15:15:00,186.239,12.3211,14.579336
2021-05-05 15:30:00,186.2152,12.208509,14.45131
2021-05-05 15:45:00,186.1529,12.113133,14.341801
2021-05-05 16:00:00,186.0171,11.990485,14.1979475
2021-05-05 16:15:00,185.7457,11.831699,14.0117235
2021-05-05 16:30:00,185.2973,11.676651,13.830611
2021-05-05 16:45:00,184.5925,11.557038,13.69557
2021-05-05 17:00:00,183.5227,11.475478,13.611065
2021-05-05 17:15:00,181.9407,11.408949,13.550522
2021-05-05 17:30:00,179.6111,11.32922,13.4765835
2021-05-05 17:45:00,176.2481,11.204704,13.347909
2021-05-05 18:00:00,171.4129,11.036035,13.167545
2021-05-05 18:15:00,166.8206,10.813597,12.928257
2021-05-05 18:30:00,161.8469,10.528267,12.621302
2021-05-05 18:45:00,155.705,10.198651,12.26741
2021-05-05 19:00:00,148.5596,9.825265,11.866894
2021-05-05 19:15:00,140.6217,9.413234,11.433139
2021-05-05 19:30:00,132.3339,8.945752,10.962618
